variable,coefficient,ci_lower,ci_upper,p_value,std_error,t_stat
Intercept,0.55976320936957,0.5402598593903788,0.5792665593487613,0.0,0.009950080640074474,56.25715304407626
"C(source, Treatment(reference='academic'))[T.institutional]",0.12100236303394128,0.10372381908473344,0.13828090698314913,1.2585347172753247e-42,0.008815044893370585,13.726800543573175
"C(source, Treatment(reference='academic'))[T.public]",0.040830495335015926,0.03261521849119649,0.049045772178835365,2.321272221219801e-22,0.004191211620760222,9.741931219309297
log_tokens,-0.02085701780190807,-0.024595767031528826,-0.017118268572287314,9.969923700446239e-28,0.0019074085409652023,-10.934740698683164
is_english,0.2789748372830002,0.2741676442574107,0.28378203030858973,0.0,0.0024524996120180924,113.75122585786659
