source,n,mean,std,median,q25,q75,min_val,max_val,pct_positive,pct_neutral,pct_negative
academic,11741,0.5677,0.169,0.53,0.4382,0.7103,0.215,0.9661,50.9,42.9,6.2
institutional,281,0.8105,0.2856,1.0,0.75,1.0,0.0,1.0,86.5,0.4,13.2
public,3210,0.5273,0.1961,0.4767,0.3713,0.6712,0.2105,0.987,54.6,10.6,34.8
