group,n_nodes,n_edges,density,avg_clustering,modularity,diameter,avg_degree,top_10_central_nodes
academic,100,3127,0.631717,0.049878,0.421746,2,62.54,"social, global, sector, local, crisis, circular, article, climate, energy, development"
public,100,2889,0.583636,0.02016,0.109854,2,57.78,"people, like, one, world, change, climate, don, now, because, much"
